game_num,round_num,step_num,player,is_strict_ef,is_one_item_ef,is_final_allocation,final_strict_ef,final_one_item_ef,outside_consistent,offer_increasing
0,1,1,1,False,False,False,False,False,True,True
0,1,2,2,False,False,False,False,False,True,True
3,1,1,1,True,False,True,False,True,True,True
3,1,2,2,True,False,True,False,True,True,True
4,1,1,1,False,False,True,True,True,False,True
4,1,2,2,True,False,True,True,True,False,True
5,1,1,1,False,False,False,False,False,True,True
5,1,2,2,False,False,False,False,False,True,True
5,2,1,1,True,False,True,True,True,True,True
5,2,2,2,True,False,True,True,True,True,True
8,1,1,1,True,False,True,True,True,False,True
8,1,2,2,True,False,True,True,True,False,True
9,1,1,1,False,False,False,False,False,True,True
9,1,2,2,False,False,False,False,False,True,True
9,2,1,1,True,False,True,True,True,True,True
9,2,2,2,True,False,True,True,True,True,True
10,1,1,1,False,False,False,False,False,True,True
10,1,2,2,True,False,False,False,False,True,True
10,2,1,1,True,False,True,True,True,True,True
10,2,2,2,True,False,True,True,True,True,True
14,1,1,1,False,False,False,False,False,True,True
14,1,2,2,False,False,False,False,False,True,True
14,2,1,1,False,False,False,False,False,True,True
14,2,2,2,False,False,False,False,False,True,True
15,1,1,1,False,False,False,False,False,True,True
15,1,2,2,False,False,False,False,False,True,True
17,1,1,1,False,False,False,False,False,False,False
17,1,2,2,True,False,False,False,False,False,False
20,1,1,1,False,False,False,False,False,True,True
20,1,2,2,True,False,False,False,False,True,True
21,1,1,1,False,False,False,False,False,True,True
21,1,2,2,False,False,False,False,False,True,True
21,2,1,1,True,False,True,True,True,True,True
21,2,2,2,True,False,True,True,True,True,True
22,1,1,1,False,False,False,False,False,True,True
22,1,2,2,True,False,False,False,False,True,True
25,1,1,1,True,False,True,False,False,True,True
25,1,2,2,True,False,True,False,False,True,True
26,1,1,1,False,False,False,False,False,True,True
26,1,2,2,True,False,False,False,False,True,True
26,2,1,1,True,False,True,True,True,True,True
26,2,2,2,True,False,True,True,True,True,True
29,1,1,1,True,False,False,False,False,True,True
29,1,2,2,False,False,False,False,False,True,True
29,2,1,1,True,False,True,True,True,True,True
29,2,2,2,True,False,True,True,True,True,True
30,1,1,1,True,False,False,False,False,True,True
30,1,2,2,False,False,False,False,False,True,True
30,2,1,1,False,False,True,True,True,True,True
30,2,2,2,True,False,True,True,True,True,True
33,1,1,1,True,False,True,False,False,True,True
33,1,2,2,True,False,True,False,False,True,True
34,1,1,1,False,False,False,False,False,True,True
34,1,2,2,False,False,False,False,False,True,True
34,2,1,1,True,False,False,False,False,True,True
34,2,2,2,False,False,False,False,False,True,True
35,1,1,1,False,False,False,False,False,True,True
